,word1,word2,label
0,a,viSvasan,T
1,SaSAfka,vakwre,B
2,ni,veSanam,T
3,SAswra,niwyAH,B
4,mArga,AyAsasya,T
5,Arya,varwmanaH,B
6,sa,uxyogam,B
7,maXya,XArAyAm,T
8,vExya,vyapASrayAH,B
9,a,BIruwvam,T
10,bIja,AxIni,B
11,apAlA,aBiXAnA,T
12,sa,SabxaH,B
13,sa,Palam,B
14,vi,krewuM,T
15,wapo,XanAH,B
16,xAnavIra,nAmnA,B
17,suKa,uxayAn,B
18,nir,Bayena,B
19,nikqwi,prajFaH,B
20,saw,BAvaM,T
21,IRA,xanwena,B
22,sa,aparAXaH,B
23,mahaw,aSanaH,B
24,eka,agryaM,B
25,apa,karRaNam,T
26,wri,lokam,T
27,kqwa,AhnikaH,B
28,mAlavIya,Bavane,T
29,unmawwa,rAkRasaH,T
30,svinna,gAwraH,B
31,inxra,wulyaH,T
32,mlAna,vaxanaH,B
33,sa,viswaram,B
34,pApa,rakRAMsi,T
35,pAxa,guNAH,T
36,upa,wiRTawi,A
37,pata,putakam,T
38,saMskqwa,BArawyAH,T
39,xqDa,vikramaH,B
40,prawi,icCakaH,A
41,saMmAna,SuSrURA,D
42,viSAla,kAyam,B
43,kqwa,vErANAm,B
44,pawi,gqhe,T
45,UrNa,nABiH,B
46,Xarma,vqwwaM,B
47,jvara,anwe,T
48,viciwra,vyavahAreNa,T
49,giri,guhAm,T
50,bahu,viXAnAm,T
51,SaSa,afkaH,B
52,paFcasahasra,rASim,T
53,pra,vrajiwe,T
54,cIna,xeSaH,T
55,smiwa,pUrvakam,B
56,mahA,aparAXAH,B
57,paFca,rAwrikA,B
58,mAwulifga,niBAH,T
59,anu,rUpaM,A
60,laGu,kAlaH,T
61,uxaf,muKaM,B
62,prawi,koNam,A
63,apa,arWakam,T
64,mahaw,manwriNam,T
65,AkarRaNa,vikarRaNena,D
66,svasWa,cewA,B
67,upajAwa,vismaya,B
68,wilaka,Axi,B
69,Akula,hqxayasya,T
70,xivya,cakRuBiH,B
71,amAwya,vallaBAnAM,T
72,kqwa,Agasam,B
73,niyawa,mAnasaH,B
74,saha,carAH,B
75,avyakwa,AwmA,B
76,anwara,AwmA,T
77,sa,uwsAhena,B
78,AjFA,vaSAw,T
79,pra,xAwQn,T
80,siMhAsana,ArUDaH,T
81,na,avalokya,T
82,kAla,prawIkRaNam,T
83,uw,vigna,T
84,RodaSa,guNam,B
85,sahasra,guH,B
86,wri,vAram,T
87,kAma,ASayaH,B
88,gawa,manyuH,B
89,kawipaya,janAnAm,T
90,xqRti,bANAH,T
91,alpa,buxZXiByaH,B
92,sawya,saMXAw,B
93,rukmiNI,AxyAH,B
94,a,kqwvA,T
95,gawa,asuM,B
96,sva,geham,T
97,sa,Avegam,B
98,Kinna,ASayAH,B
99,alpa,sAraH,B
100,XErya,vqwweH,B
101,rAja,prAsAxam,T
102,prasannawA,pUrvakam,B
103,a,mawsarI,T
104,na,nimeRAByAm,B
105,Sukla,varNam,B
106,uwWAna,SIlaH,B
107,sa,uwkleSaH,B
108,pra,wArakANAm,T
109,mahenxra,niyogAw,T
110,cariwa,vrawAH,B
111,sWira,pOruRAn,B
112,Rat,karmasu,T
113,nara,rAkRasaH,T
114,niwya,uxyukwAH,T
115,xaSaraWa,AxiBiH,B
116,maXya,ahnaH,T
117,viRa,hawAH,T
118,xUra,saMsWaH,T
119,Xarma,kuSalAH,T
120,sa,BrAwqkasya,B
121,kArya,sixXaye,T
122,kRINa,SakwiH,B
123,sarva,xakRiNaH,B
124,na,saxqSI,T
125,sarva3,vyUhEH,T
126,vi,mawasya,T
127,na,paviwrAM,T
128,sa,praNAmaM,B
129,prawi,xawwam,T
130,kRINa,kAyam,B
131,rawna,parIkRakANAm,T
132,eka,vixyaH,B
133,sa,punarnavam,B
134,BArawa,sarvakAraH,T
135,wyakwa,ApaxaH,B
136,agni,rUpam,B
137,nimiliwa,newra,B
138,Siva,AxyEH,B
139,AxarSa,xampawI,T
140,sarva,pApAnAM,T
141,ORaXa,maFjURAm,T
142,pari,samApya,T
143,maha,AwmAnaH,T
144,mAwrA,AxiH,B
145,nir,jaleByaH,B
146,a,vaXyAH,T
147,prawi,niSam,A
148,awi,XArmikam,T
149,rAja,xarSanIyA,T
150,xawwa,AxaraH,B
151,SUla,pANiH,B
152,wapwa,SIwaM,T
153,su,laBam,T
154,peya,apeyaM,D
155,SuBa,karmANaH,B
156,ahava,jewAraH,T
157,rAjya,SAsane,T
158,aXika,maXurasya,B
159,hqwa,jFAnAH,B
160,bahu,xoRasya,B
161,vigawa,pApaH,B
162,su,XUpiwaH,T
163,sa,sIwaH,B
164,BAryA,xviwIya,T
165,Agama,saMyukwaM,T
166,yukwi,yukwEH,T
167,lajjA,aruNam,T
168,na,nqNyam,T
169,awIwa,upaXAn,B
170,Amoxa,pramoxam,D
171,puRti,kAmAH,B
172,wapas,vane,T
173,cAra,newraH,B
174,a,svapanaM,T
175,varma,newram,D
176,yaWA,BAgaM,A
177,saf?koca,SIlA,B
178,prawisaMhqwa,aMSuH,B
179,iRtaka,uwWAw,T
180,apagawa,sanwApam,B
181,viSve,xevAH,T
182,sa,SrIkawA,B
183,vyAmiSra,Awma,B
184,XAnA,muRtim7,B
185,lavaNa,varjyAH,B
186,yaWA,ipsiwam,A
187,su,gamam,T
188,waw,saxqSaH,T
189,moxaka,KAxyEH,T
190,mahaw,ASayAH,B
191,an,awisnehaH,T
192,wvaramANa,maNdanA,B
193,su,BARiwAm,T
194,sa,sqjire,B
195,mahA,mAyasya,B
196,A,sAyam,T
197,a,vijFAwaM,T
198,arXa,rAwrasya,T
199,nir,vqnwA,B
200,sa,xArANAM,B
201,Srowra,AxIni,B
202,samapa,varjiwe,A
203,SmaSru,rahiwa,T
204,Bagna,KadgO,B
205,rakRi,puruREH,T
206,sarva,samAramBaH,T
207,a,pariNAmi,T
208,ruxran,seviwaH,T
209,pApa,rAkRasaH,T
210,inxra,AxyAH,B
211,Suci,kAmam,T
212,sawya,Palena,T
213,na,yukwam,T
214,sena,aXikAriNA,T
215,nir,BayaM,B
216,awi,vilambiwam,T
217,rakwa,paxmEH,T
218,yojana,anwariwa,T
219,xqDa,manaskA,B
220,vara,yAwri,T
221,anavarawa,niHsqwEH,T
222,paxma,ayuwaM,B
223,uwwara,kriyAm,T
224,nir,AramBaH,B
225,na,brAhmaNyam,T
226,ruci,pUrvakam,B
227,pUrva,vEraM,T
228,Saswra,pANayaH,B
229,vit,mUwraM,D
230,krUra,BUwAni,T
231,sarvakAla,vicArI,T
232,vAwa,parikRaye,T
233,suvarNa,praBaH,B
234,BIma,vegEH,B
235,su,anurakwA,T
236,sAXu,mahABAgena,T
237,SIla,mUlA,B
238,maw,prapOwram,T
239,Sruwi,parAyaNAH,T
240,sAXu,mahASayam,T
241,na,icCAm,T
242,vixiwa,AwmanA,B
243,xarSana,uwsukAnAm,T
244,SIla,xoReNa,T
245,kusuma,XanvanaH,B
246,asurAmbikA,nAmikA,B
247,a,SocanwaH,T
248,kaPa,karma,T
249,na,safKyAwAH,T
250,xur,bala,B
251,harRa,varRam,T
252,nibaxXa,wAlakam,B
253,na,cinwayaw,T
254,SuBa,AwmanAm,B
255,caraNa,kamalam,T
256,paFcaSawa,rupyakANi,T
257,sawya,saMkASAH,B
258,peya,Axi,B
259,Avega,pUrvakam,B
260,kAla,saMcoxiwA,T
261,mahA,mUlAH,B
262,kiM,gowrA,B
263,waw,Awma,B
264,xawwa,vaswuni,T
265,xqRti,pAwa,T
266,na,SAnwaH,T
267,nayana2,aSrUNi,T
268,mallikA,nAmikayA,B
269,prakqwi,SIwAH,B
270,sa,Akulam,B
271,na,calaH,T
272,sa,parivArA,B
273,uxaXi,niBam,T
274,sa,nAgaram,B
275,mahA,buxXiH,B
276,paryavaxAwa,SruwAH,B
277,pari,wyajya,T
278,waw,svaBAvAw,T
279,sax,vacanam,T
280,viruxXa,upakramaH,B
281,vaswra,ABURaNam,D
282,pUwa,pApmAnaH,T
283,praveRtu,kAmA,B
284,bahu,viswaram,B
285,nir,buxXiH,B
286,hawa,bAnXavA,B
287,vexa,ukwAH,T
288,evaM,viXena,B
289,nir,BayAH,B
290,Agama,niScayAw,T
291,maha,qxXiM,B
292,su,niSiwaH,T
293,an,qwAw,T
294,xur,ganXa,T
295,BArawIya,mahilA,T
296,paFca,guNAH,T
297,hqRta,romA,B
298,yukwi,safgawam,T
299,xvi,viXaM,B
300,sva,BAryAm,T
301,a,saMKyAkam,B
302,Xarma,Asanam,T
303,vqRa,garBaH,B
304,upari,BAge,T
305,mawsya,pASe,T
306,uxyawa,SAsanam,B
307,xeha,mArxavam,T
308,a,waWyAn,T
309,Xarma,aviroXinaH,T
310,rOxra,praxarSinaH,T
311,xurjana,AcariwaM,T
312,kumBI,XAnyEH,B
313,gawa,Agawam,D
314,aBi,gamya,T
315,su,vIryam,B
316,su,guNam,B
317,rakwa,sPulifgA,T
318,rAjIva,locana,B
319,vi,mukwena,T
320,na,viGnena,T
321,prawyakRa,XarmANaH,B
322,pra,SikRiwA,T
323,Bavaw,praxawwAni,T
324,BIma,parAkramaH,B
325,spaRta,xaNdasya,B
326,nir,aMkuSaH,B
327,a,yukwawA,T
328,an,asUyakaH,B
329,Amra,Palena,T
330,mUrKa,pragalBena,D
331,xaSan,AwmA,B
332,sa,vixyuwaH,B
333,SleRma,aXikaH,B
334,Saswra,niwyaH,B
335,viviXa,aswrANAm,T
336,xaSa,parAn,B
337,sajjana,BARiwam,T
338,na,sAPalyam,T
339,a,saMKyeyA,T
340,mawsya,maXye,T
341,prawiveSi,rAjye,T
342,vixyA,aXikam,T
343,guru,kAya,T
344,loka,sAkRikam,B
345,xamana,maharReH,T
346,a,rogaH,B
