,word1,word2,label
0,svAxu,paxArWAn,T
1,xvAxaSa,varRANi,T
2,AxAna,xurbale,T
3,go,BakwAH,T
4,viXi,Bexena,T
5,nIwi,kuSalaM,T
6,lafkA,upamam,B
7,yaSas,lipsoH,T
8,kaSa,AGAwam,T
9,hewumaw,uwwaram,B
10,varRa,pUgAn,B
11,sa,cewanaH,B
12,paxa,arpaNena,T
13,lABa,anviwAH,T
14,sa,atqtahAsam,B
15,rasa,vegaH,T
16,a,parisaMKyeyawvaM,T
17,cinwana,parAH,T
18,Agneya,aswrANi,T
19,su,maXyamA,B
20,vikala,afgaH,B
21,SqgAla,AxInAm,B
22,Gora,vikramAH,B
23,mahaw,rava,B
24,yaWA,kaWaciMw,T
25,asi,carmiNaH,B
26,sam,rakRaka,T
27,pIwa,lohiwAH,B
28,sa,aBimAnam,B
29,sa,aBijFAnam,B
30,apagawa,cewanA,B
31,kurun,sawwamam,T
32,nUwana,paxAni,T
33,bala,aXikaraNAni,T
34,parikIrNa,keSam,B
35,sva,viBavEH,T
36,pra,hAya,T
37,Suka,AxyEH,B
38,sapwa,uwwaraM,B
39,nis,spqhaH,B
40,BAva,vihvalaH,T
41,kaniRTa,BrAwaram,T
42,afka,pAlyAm,T
43,bahu,SruwAH,B
44,su,saMwuRtAn,T
45,na,upasWiwO,T
46,na,saMKyA,T
47,xawwa,ciwwa,B
48,waw,anvayAH,T
49,garuda,Xvaja,B
50,wamasA,Avqwam,T
51,bahu,viXAM,T
52,waw,arWIyaM,T
53,alpa,xroheNa,T
54,aninxya,AwmA,B
55,sunxara,AkArakasya,B
56,yuXiRTira,AxayaH,B
57,kRIra,sAgaraH,T
58,jiwa,kroXaM,B
59,kaRta,pUrvakam,B
60,A,pralayam,A
61,Xarma,anviwAn,T
62,sa,nAWIkqwA,B
63,nir,vErAH,B
64,xAna,SIlawAm,B
65,wqNa,Axikam,B
66,pawana,anwAH,B
67,xAsa,BAvaH,T
68,nis,svArWa,B
69,svAxu,wikwakam,D
70,na,xqRtA,T
71,maXya,ahna,T
72,a,kqwaM,T
73,ikRvAku,kulasya,T
74,a,yogena,T
75,suraBiwa,mAsaH,T
76,mahA,vegAH,B
77,su,sWiwam,T
78,sa,kRamA,B
79,puRkara,nAmake,B
80,sarva,vikArAn,T
81,waw,muKAw,T
82,ni,yuFjyAH,T
83,bala,parAkramaH,B
84,xvi,Sawam,T
85,yuxXa,viSAraxAH,T
86,sa,niSvAsam,B
87,sax,vqwwEH,B
