Intuition Institute in Inner Harmony Massage Therapy Office , 525 N. Main Street , Suite 28 , Elburn , IL , us , 60119
Thai Sookdee Restaurant , 1016 Church St , Evanston, IL , Evanston , IL , us , 60201
Timmy's Sandwiches & Ice Cream , 132 Old Mc Henry Road , next to Casa Brasil , Long Grove , IL , us , 60047
Miguel's place , private location , details to be emailed to those attending , Evanston , IL , us , 60202
Hyde Park Food Pantry , 1169 E. 56th St , Will have to knock for entrance , Chicago , IL , us , 60637
Carl Sandburg Middle School , 855 W. Hawley Street , LOCATED IN THE GYM , Mundelein , IL , us , 60060
James Park , Mulford & Dodge , (parking at end of Mulford) , Evanston , IL , us , 60202
Merry Music Makers , 3717 N Ravenswood Ave , 212 , Chicago , IL , us , 60613
Pacifica Furniture Co. , 2023 W. Carroll Ave. , Suite C-205 , Chicago , IL , us , 60612
Sustain , 920 N.Franklin , 301 , Chicago , IL , us , 60610
Buddy Guy's Legends , 754 S Wabash Ave , (Wabash St and 7th St) , Chicago , IL , us , 60605
Jackson Park , 63rd & South Lakeshore Dr , east side, near lakefront and bathhouse , Chicago , IL , us , 60637
Pro-Holistic Institute , 2343 W Montrose Ave  , Unit A , Chicago , IL , us , 60618
Margate Park/Puptown , 4921 N. Marine Dr. , Marine Dr. north of Lawrence , Chicago , IL , us , 60657
Busse Woods Grove 32 , Cook County Forest Preserve , Elk Grove, IL , Elk Grove Village , IL , us , 60007
Montrose Dog Beach , Wilson Av. and Simond Dr. , North Montrose Harbor , Chicago , IL , us , 60626
Arabian Knights Farms , 6526 Clarendon Hills Rd. , Willowbrook, IL , Willowbrook , IL , us , 60527
Montrose Dog Beach , Just north of Wilson & Simonds , Dr, , Chicago , IL , us , 60626
Bunker Hill Forest Preserve , Touhy and Hart Rd. , Grove #4 , Niles , IL , us , 60646
The Tap Room , 2218 N. Western Ave. , Neighborhood:  Bucktown/Logan Square.....between Armitage & Fullerton , Chicago , IL , us , 60647
The Metropolitan Club , Sears Tower , 233 S. Wacker , Chicago , IL , us , 60606
WunderLand Group's Conference Center at , 200 W. Jackson , Floor 13 , Chicago , IL , us , 60606
1585 Beverly Court Suite 123 Aurora , 1585 Beverly Court , Suite 123 , Aurora , IL , us , 60502
WBDC.org , 8 South Michigan Avenue , 4th Floor , Chicago , IL , us , 60611
Sip , 1223 W Grand Ave  , (between Elizabeth St & Racine Ave) , Chicago , IL , us , 60622
Aquarius Club & Restaurant , 2459 N. Pulaski Avenue , Chicago, IL  60647 , Chicago , IL , us , 60647
Monk's Pub , 205 W. Lake Street , Chicago, IL , Chicago , IL , us , 60606
Blu Razz , 558 Randall Road , South Elgin, IL , South Elgin , IL , us , 60177
Barnes & Noble , 728 North Waukegan Road , 2nd floor, facing front of store , Deerfield , IL , us , 60015
Harper College , 1200 W. Algonquin Rd , Building X, Room X212 (Note NEW ROOM , Palatine , IL , us , 60038
Flat Top Grill , 319 W. North Ave. , Chicago, Il , Chicago , IL , us , 60610
Loyola University Gate , Sheridan Road , Across from Loyola Red Line , Chicago , IL , us , 60605
Bobby Q's Restaurant , 1279 Rand Road , Arlington Heights , Arlington Heights , IL , us , 60004
GolfSmith , 2782 N Clybourn Ave ,  Bldg. C , Chicago , IL , us , 60614
Thunderhawk Golf Club , 39700 N Lewis Ave , Beach Park , Zion , IL , us , 60099
Kersten Physics Teaching Center, University of Chicago , 5720 S Ellis Ave , Room 106 , Chicago , IL , us , 60637
Cernan Earth and Space Center , Triton College , 2000 Fifth Ave , River Grove , IL , us , 60171
Science Idea Birthing Place of Veronica Drantz , 4942 West School Street , Upper Bell , Chicago , IL , us , 60641
Smell & Taste Treatment Research Foundation , Clinical offices in back of Water Tower Place, , 845 North Michigan Avenue, Suite 990W   , Chicago , IL , us , 60611
The U-Spy Store , at the VIllage Crossing Mall , 5421 Touhy Avenue , Skokie , IL , us , 60077
Wheaton College , Campus at 501 College Avenue , Armerding Hall (on Irving Avenue) , Wheaton , IL , us , 60137
DePaul University , 1110 W Belden Avenue , William G. McGowan Science Ctr, MCGOWAN SOUTH, ROOM 108 , Chicago , IL , us , 60614
Loyola University - Water Tower Campus , 26 E. Pearson Avenue , 303/304 Baumhart Hall , Chicago , IL , us , 60611
School of the Art Institute , 111 South Michigan Avenue , Fullerton Hall (Michigan & Adams Entrance only) , Chicago , IL , us , 60604
Northwestern University, Chicago Campus , Lurie Medical Research Center, Hughes Auditorium , 303 E. Superior St. , Chicago , IL , us , 60601
UIC Campus , 750 S. Halsted , University Center East Bldg, Room 613 , Chicago , IL , us , 60607
CFI Conference:  "Dangerous Nonsense"  , 111 East Wacker Drive , 26th Floor - Conference Room , Chicago , IL , us , 60601
Northwestern University , McCormick Tribune Center , 1870 Campus Drive , Evanston , IL , us , 60208
Francis W. Parker School , 330 W. Webster Ave. , Diane and David B Heller Auditorium , Chicago , IL , us , 60614
Northwestern University , 2200 Campus Drive , Pancoe-ENH Building, Abbott Auditorium , Evanston , IL , us , 60626
Starbucks , 22 E Chicago Ave , 106 , Naperville , IL , us , 60540
Waveland Bowl , 3700 North Western , Chicago, IL , Chicago , IL , us , 60618
Montrose Park , 601 W Montrose Ave , Chicago, IL , Chicago , IL , us , 60613
Stevens & Associates , 111 W. Jackson Blvd  , #1400 , Chicago , IL , us , 60604
Cafe Buonaro's , 5th Ave Station , 300 E. 5th Avenue , Naperville , IL , us , 60540
Lincoln Park Study Center , W Armitage Ave & N Racine Ave , near Clybourn, exact address will be provided , Chicago , IL , us , 60614
Sensei Ross' Dojo , S Steiner Rd & W Lockport St , general location, specific address will be provided , Plainfield , IL , us , 60544
Room 166 of the Dan and Ada Rice Campus , IL Institute of Technology , 201 East Loop Rd. , Wheaton , IL , us , 60187
Sears Tower , 233 S. Wacker Drive , 49th Floor - offices of Mortgage Exchange , Chicago , IL , us , 60601
Yoga Now - Gold Coast , 742 N. LaSalle , Suite 201 , Chicago , IL , us , 60610
GoToWebinar , https://attendee.gotowebinar.com/register/3963374744049445121 , Event Time is CST. (UCT -6:00) , Chicago , IL , us , 60643
Crystal Court Shopping Center , Rt. 14 & Crystal Point Dr , Rt. 14, 1/2 mi east of Main St. , Crystal Lake , IL , us , 60014
Heald Square , Wacker & Wabash , The River & State , Chicago , IL , us , 60601
